Suburbs,Average rental prices,Latitude,Longitude
Bugolobi,"2,448,924",0.313898,32.622041
Bukasa,"856,939",-0.43438,32.502563
Bukoto,"1,100,000",-0.39288,31.63031
Bunga,"1,475,000",0.272844,32.620329
Buziga,"1,216,667",0.258917,32.617698
Bweyogerere,"550,000",0.352032,32.673612
Entebbe ,"2,882,138",0.061172,32.469856
Kansanga,"1,141,667",0.292001,32.604574
Kira,"633,333",0.400341,32.639185
Kisaasi,"946,667",0.362895,32.599734
Kitende,"955,000",0.2,32.533333
Kiwatule,"741,667",0.372741,32.629864
Kyaliwajjala,"591,667",0.380206,32.646827
Lubowa,"2,943,828",0.233333,32.566667
Luzira,"1,144,293",0.297493,32.652819
Lweza,"2,080,000",0.224644,32.547464
Munyonyo,"2,010,582",0.244545,32.62175
Mutungo,"800,000",0.315914,32.642562
Muyenga,"2,275,000",0.299107,32.618571
Naguru,"3,287,500",0.341905,32.606366
Najjera,"750,000",0.379828,32.626282
Nalya,"816,667",0.360831,32.628884
Namugongo,"641,667",0.390715,32.654199
Ntinda,"841,667",0.354428,32.613638
Seguku,"1,072,283",0.232542,32.551358
Makerere,"591,667",0.337735,32.562941
Kololo,"3,500,000",0.33781,32.58636
Mengo,"717,000",0.31075,32.55886
Nakasero,"4,000,000",0.32045,32.57635
Kireka,"520,000",0.3515,32.64518
Nakawa,"660,000",0.3338,32.61847
Kyambogo,"560,000",0.3473,32.63088
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
